"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2103","Bahia","50408","S Helena e NS da Piedade","Costa da Mina","Bahia","1711",NA,"Cardoso, João",NA,NA,NA
"2104","Bahia","50409","NS do Pilar S Antônio e Almas","Costa da Mina","Bahia","1711",NA,"Costa, Antônio da",NA,NA,NA
"2105","Bahia","50410","NS de Nazaré e S Antônio das Barreiras","Costa da Mina","Bahia","1711",NA,"Souza, Francisco de",NA,NA,NA
"2106","Bahia","50416","Bom Jesus Barrosas e S Gonçalo do Amarante","Costa da Mina","Bahia","1711",NA,"Viana, José Rodrigues",NA,NA,NA
"2107","Bahia","50419","NS do Rosario S José e Santiago","Costa da Mina","Bahia","1712",NA,"Vieira, João Gomes",NA,NA,NA
"2108","Bahia","50420","NS da Piedade","Costa da Mina","Bahia","1712",NA,"Costa, Estevão da",NA,NA,NA
"2109","Bahia","50421","Santíssimo Sacramento NS da Luz e S Antônio","Costa da Mina","Bahia","1712",NA,"Lopes, Manoel Ferreira",NA,NA,NA
"2110","Bahia","50424","NS da Esperança e S Antônio","Sao Tome","Bahia","1712",NA,"Gonçalves, João",NA,NA,NA
"2111","Bahia","50425","S Antônio e Almas","Calabar","Bahia","1712",NA,"Silva, Pedro da Costa e",NA,NA,NA
"2112","Bahia","50426","NS do Monte e Nazaré","Costa da Mina","Bahia","1712",NA,"Lima, Manoel da Costa",NA,NA,NA
"2113","Bahia","50427","Corpo Santo e Almas","Costa da Mina","Bahia","1712",NA,"Carvalho, Domingos Gomes de",NA,NA,NA
"2114","Bahia","50428","NS das Angústias e S José","Costa da Mina","Bahia","1712",NA,"Pinto, Pedro Fernandes",NA,NA,NA
"2115","Bahia","50429","NS Mãe de Deus e S José","Costa da Mina","Bahia","1712",NA,"Gonçalves, Paulo",NA,NA,NA
"2116","Bahia","50430","NS do Ó e S Antônio","Costa da Mina","Bahia","1712",NA,"Martins, Antônio",NA,NA,NA
"2117","Bahia","50431","NS da Boa Morte S Boaventura e NS da Conceição","Costa da Mina","Bahia","1712",NA,"Feijó, Manoel da Fonseca",NA,NA,NA
"2118","Bahia","50435","NS da Purificacão e S Antônio da Barra","Costa da Mina","Bahia","1712",NA,"Gonçalves, Antônio Martins",NA,NA,NA
"2119","Bahia","50436","NS da Conceição e Almas","Calabar","Bahia","1712",NA,"Escolar, Manoel",NA,NA,NA
"2120","Bahia","50437","NS do Pilar S Antônio e Almas","Calabar","Bahia","1712",NA,"Valadão, Manoel Coelho",NA,NA,NA
